GB saved,cost
0.12359619140625,0.13739
0.2471923828125,0.32032000000000005
0.37078857421875,0.7046100000000001
0.40374755859375,0.8236000000000001
0.52734375,1.3540400000000001
0.65093994140625,1.93913
0.7745361328125,2.5732
0.89813232421875,3.2233799999999997
1.021728515625,3.8916899999999996
1.14532470703125,4.62204
1.2689208984375,5.37171
1.27716064453125,5.42326
1.4007568359375,6.2707999999999995
1.52435302734375,7.17516
1.55731201171875,7.42883
1.680908203125,8.384979999999999
1.80450439453125,9.347499999999998
1.9281005859375,10.349499999999999
2.05169677734375,11.4057
2.208251953125,12.7502
2.2412109375,13.0354
2.39776611328125,14.4079
2.5543212890625,15.8122
2.71087646484375,17.275000000000002
2.74383544921875,17.600600000000004
2.77679443359375,17.934050000000003
2.900390625,19.213050000000003
2.933349609375,19.557450000000003
3.08990478515625,21.206550000000004
3.2464599609375,22.865550000000002
3.2794189453125,23.231330000000003
3.43597412109375,25.008730000000003
3.592529296875,26.841230000000003
3.74908447265625,28.69563
3.78204345703125,29.08707
3.9385986328125,30.988770000000002
4.09515380859375,32.93677
4.251708984375,34.99607
4.28466796875,35.4568
4.44122314453125,37.683
4.5977783203125,39.992
4.6307373046875,40.51025
4.6636962890625,41.04101
4.82025146484375,43.66131
4.976806640625,46.90641
5.009765625,47.6027
5.042724609375,48.31953
5.19927978515625,52.39793
5.23223876953125,53.28009
5.26519775390625,54.18451
5.29815673828125,55.29912
5.4547119140625,60.642720000000004
5.47119140625,61.2156
5.4876708984375,61.8054
5.504150390625,62.4253
5.537109375,63.74641
5.5535888671875,64.41251
5.570068359375,65.09491
5.5865478515625,65.77951
5.60302734375,66.46471
5.75958251953125,73.30251
5.77606201171875,74.04621
5.79254150390625,74.83731
5.80902099609375,75.63961
5.82550048828125,76.45431
5.84197998046875,77.27041000000001
5.85845947265625,78.09961000000001
5.87493896484375,78.92921000000001
5.89141845703125,79.76381
5.90789794921875,80.60171000000001
5.92437744140625,81.44611
6.0809326171875,89.63561
6.097412109375,90.60701
6.1138916015625,91.58851
6.4896240234375,114.13451
6.506103515625,115.25961000000001
6.8818359375,141.26861000000002
7.03839111328125,152.10861000000003
7.41412353515625,178.46861
7.43060302734375,179.62691
7.44708251953125,180.78821000000002
7.82281494140625,208.18421
7.83929443359375,209.38751000000002
7.85577392578125,210.61541000000003
7.87225341796875,211.85581000000002
7.88873291015625,213.09721000000002
7.90521240234375,214.55551000000003
7.92169189453125,216.08721000000003
7.93817138671875,217.65101
8.23480224609375,246.01401
8.25128173828125,247.62781
8.26776123046875,249.25041000000002
8.28424072265625,250.93811000000002
8.65997314453125,289.93611000000004
9.03570556640625,329.04111000000006
9.11480712890625,337.66811000000007
9.13128662109375,339.56711000000007
9.14776611328125,341.49041000000005
9.16424560546875,343.41421
9.53997802734375,387.50021000000004
9.55645751953125,389.44991000000005
9.93218994140625,434.7709100000001
10.30792236328125,480.7389100000001
10.60455322265625,517.0499100000001
10.98028564453125,563.1409100000001
10.99676513671875,565.1971100000001
11.01324462890625,567.2553100000001
11.38897705078125,614.3053100000001
11.40545654296875,616.41241
11.78118896484375,665.53441
12.15692138671875,714.96841
12.23602294921875,725.43341
12.61175537109375,776.14141
12.62823486328125,778.39951
12.64471435546875,780.67661
12.66119384765625,783.01001
12.67767333984375,785.34651
12.69415283203125,787.71821
12.71063232421875,790.15301
12.72711181640625,792.63401
12.76666259765625,798.69001
13.14239501953125,856.29701
13.18194580078125,862.47601
13.19842529296875,865.14881
13.21490478515625,867.8239100000001
13.23138427734375,870.5599100000001
13.24786376953125,873.34531
13.26434326171875,876.1486100000001
13.28082275390625,879.0193100000001
13.32037353515625,885.9103100000001
13.69610595703125,951.92731
13.73565673828125,959.09131
14.11138916015625,1027.77531
14.12786865234375,1030.81941
14.16741943359375,1038.27941
14.18389892578125,1041.43011
14.26300048828125,1057.30111
14.30255126953125,1065.2791100000002
14.34210205078125,1073.4101100000003
14.38165283203125,1081.5901100000003
14.39813232421875,1085.0590100000004
14.43768310546875,1093.6040100000005
14.47723388671875,1102.3790100000006
14.49371337890625,1106.0973100000006
14.51019287109375,1109.9157100000007
14.54974365234375,1119.1307100000006
14.56622314453125,1123.0844100000006
14.60577392578125,1132.5784100000005
